Starting Sketch
Starting Encoder
INA219 Connected!
Received new setpoint, speed, duration: 255, 0
Calc'd Final Speed: inf
10004792|255|-0.40|1016
10006038|255|-445.60|935
10007191|255|-439.30|928
10008935|255|-439.40|931
10010932|255|-440.60|929
10012935|255|-441.70|931
10014931|255|-443.30|929
10016933|255|-444.40|929
10018935|255|-444.80|931
10020932|255|-445.60|929
10022934|255|-446.90|929
10024938|255|-447.60|932
10026936|255|-448.20|930
10028934|255|-448.90|932
10030931|255|-449.70|930
10032933|255|-449.60|931
10034935|255|-450.30|931
10036933|255|-450.50|930
10038935|255|-451.10|931
10040934|255|-451.20|930
10042934|255|-451.70|931
10044933|255|-451.80|930
10046930|255|-452.00|929
10048937|255|-452.30|930
10050936|255|-452.30|934
10052942|255|-452.70|940
10054937|255|-452.50|932
10056934|255|-452.80|930
10058932|255|-452.80|929
10060934|255|-453.10|930
10062936|255|-453.10|930
10064932|255|-453.10|927
10066932|255|-453.70|930
10068934|255|-453.70|928
10070931|255|-453.50|929
10072935|255|-453.60|929
10074933|255|-453.60|929
10076934|255|-453.70|930
10078939|255|-453.60|937
10080943|255|-453.70|942
10082948|255|-463.40|943
10084935|255|-467.40|929
10086937|255|-467.90|930
10088935|255|-468.00|930
10090932|255|-467.70|930
10092939|255|-466.80|935
10094941|255|-466.20|934
10096933|255|-465.60|929
10098947|255|-464.60|931
10100950|255|-465.00|929
10102948|255|-464.30|944
10104934|255|-463.90|930
10106938|255|-463.40|931
10108936|255|-463.30|930
10110937|255|-463.10|931
10112930|255|-462.70|929
10114934|255|-463.00|931
10116933|255|-462.10|930
10118937|255|-462.00|930
10120936|255|-461.80|931
10122933|255|-462.20|930
10124935|255|-461.60|929
10126935|255|-461.60|929
10128935|255|-461.50|931
10130936|255|-461.40|930
10132930|255|-461.10|929
10134931|255|-461.20|928
10136937|255|-461.60|931
10138934|255|-460.70|929
10140932|255|-461.10|929
10142933|255|-461.20|932
10144933|255|-460.80|929
10146931|255|-461.00|927
10148933|255|-461.00|930
10150932|255|-460.90|929
10152933|255|-460.80|930
10154934|255|-460.80|930
10156934|255|-460.80|931
10158930|255|-460.50|927
10160930|255|-461.10|928
10162932|255|-461.00|930
10164935|255|-460.60|928
10166931|255|-460.50|930
10168936|255|-460.10|931
10170931|255|-460.80|929
10172931|255|-460.80|929
10174930|255|-460.70|927
10176933|255|-460.60|931
10178933|255|-460.80|929
10180934|255|-460.80|929
10182931|255|-460.30|928
10184937|255|-460.50|930
10186932|255|-460.50|929
10188934|255|-460.50|931
10190932|255|-460.50|930
10192933|255|-460.40|931
10194934|255|-460.40|930
10196933|255|-460.80|931
10198936|255|-461.00|930
10200933|255|-460.80|929
10202935|255|-460.80|930
10204931|255|-461.30|930
10206935|255|-461.10|928
10208943|255|-461.10|940
10210931|255|-461.40|929
10212934|255|-461.50|929
10214935|255|-461.30|931
10216932|255|-461.20|931
10218931|255|-461.30|929
10220932|255|-461.20|929
10222932|255|-461.50|930
10224934|255|-461.30|930
10226936|255|-461.30|931
10228932|255|-461.30|928
10230932|255|-461.40|927
10232930|255|-461.30|926
10234934|255|-461.30|931
10236932|255|-461.50|929
10238934|255|-461.40|931
10240932|255|-461.40|929
10242932|255|-461.40|928
10244929|255|-461.20|928
10246934|255|-461.50|931
10248935|255|-461.40|929
10250935|255|-461.20|930
10252928|255|-461.10|927
10254933|255|-461.30|928
10256935|255|-461.50|930
10258943|255|-461.20|937
10260942|255|-461.30|940
10262931|255|-461.00|930
10264933|255|-461.30|931
10266933|255|-461.50|931
10268934|255|-461.30|929
10270932|255|-461.20|928
10272935|255|-461.40|931
10274931|255|-461.30|926
10276934|255|-461.20|931
10278934|255|-461.30|932
10280935|255|-461.30|930
10282929|255|-461.10|927
10284935|255|-461.20|930
10286935|255|-461.10|931
10288931|255|-461.20|929
10290934|255|-461.30|929
10292936|255|-461.20|931
10294935|255|-461.30|928
10296931|255|-461.20|930
10298928|255|-461.30|927
10300931|255|-461.40|929
10302933|255|-461.20|931
10304935|255|-461.40|930
10306935|255|-461.00|929
10308933|255|-461.00|930
10310933|255|-461.20|927
10312932|255|-461.20|931
10314932|255|-461.20|929
10316933|255|-461.00|931
10318932|255|-461.10|927
10320927|255|-461.20|926
10322932|255|-461.10|929
10324937|255|-461.10|930
10326933|255|-461.40|931
10328935|255|-461.40|931
10330931|255|-461.30|929
10332935|255|-461.40|931
10334933|255|-461.30|927
10336935|255|-461.10|930
10338932|255|-461.30|930
10340934|255|-461.20|928
10342939|255|-461.20|937
10344945|255|-461.00|941
10346930|255|-461.10|927
10348953|255|-461.20|930
10350936|255|-461.10|930
10352933|255|-461.40|928
10354935|255|-461.40|930
10356932|255|-461.30|930
10358933|255|-461.30|931
10360940|255|-461.30|931
10362945|255|-461.20|931
10364952|255|-461.30|951
10366938|255|-460.80|937
10368934|255|-461.50|930
10370932|255|-461.50|929
10372935|255|-461.20|932
10374931|255|-461.20|930
10376933|255|-461.00|930
10378932|255|-461.20|929
10380932|255|-461.10|930
10382931|255|-461.00|929
10384932|255|-461.20|931
10386930|255|-461.20|929
10388936|255|-461.20|931
10390937|255|-461.20|932
10392933|255|-461.10|931
10394932|255|-461.20|930
10396935|255|-461.20|932
10398931|255|-461.50|930
10400934|255|-461.10|929
Time [us]|PWM|Current[mA]|Perf Current [us]
10402985|255|-460.80|930
10404933|255|-461.20|931
10406931|255|-461.00|928
10408935|255|-461.00|930
10410934|255|-461.00|931
10412932|255|-461.20|929
10414933|255|-461.10|928
10416936|255|-461.00|931
