Received new setpoint, speed, duration: 255, 280933
Calc'd Final Speed: 0.23
8187185|163|-153|-4.35|-355.60|5|940
8188715|164|-157|-4.46|-441.00|5|938
8190163|166|-161|-4.57|-594.60|6|942
8191704|167|-164|-4.66|-934.20|5|934
8193170|168|-168|-4.77|-1011.40|5|936
8194736|170|-172|-4.89|-918.60|5|966
8196191|171|-176|-5.00|-811.10|5|939
8197739|172|-181|-5.14|-642.10|5|946
8199193|174|-185|-5.26|-412.00|5|934
8200737|175|-189|-5.37|-365.30|5|936
8202209|176|-193|-5.48|-509.90|5|968
8203757|178|-198|-5.62|-743.60|5|934
8205193|179|-202|-5.74|-890.00|5|940
8206739|181|-206|-5.85|-1007.10|5|938
8208184|182|-210|-5.97|-980.50|5|938
8209728|183|-215|-6.11|-699.90|5|934
8211189|185|-220|-6.25|-597.70|4|958
8212740|186|-224|-6.36|-477.00|5|935
8214222|187|-229|-6.51|-489.60|5|973
8215752|189|-234|-6.65|-537.90|5|936
8217197|190|-238|-6.76|-694.10|5|941
8218743|191|-243|-6.90|-959.40|5|957
8220166|193|-248|-7.05|-1008.20|5|941
8221715|194|-253|-7.19|-902.90|5|939
8223188|195|-258|-7.33|-706.00|5|946
8224736|197|-263|-7.47|-618.10|5|933
8226208|198|-268|-7.61|-523.30|6|953
8227757|200|-273|-7.76|-510.80|6|933
8229231|201|-278|-7.90|-707.20|5|973
8230757|202|-284|-8.07|-804.20|5|935
8232205|204|-288|-8.18|-942.10|5|938
8233705|205|-294|-8.35|-994.50|5|934
8235184|206|-299|-8.49|-933.10|5|937
8236725|208|-304|-8.64|-708.70|5|943
8238173|209|-310|-8.81|-609.60|5|936
8239705|210|-316|-8.98|-623.60|6|962
8241185|212|-321|-9.12|-559.60|5|937
8242688|213|-327|-9.29|-669.10|5|940
8244167|215|-332|-9.43|-827.70|6|938
8245674|216|-338|-9.60|-909.10|5|942
8247192|217|-344|-9.77|-942.70|6|964
8248706|219|-350|-9.94|-845.20|5|935
8250167|220|-356|-10.11|-710.20|5|933
8251677|221|-362|-10.28|-731.90|5|940
8253163|223|-368|-10.45|-615.20|5|938
8254678|224|-374|-10.63|-626.00|5|939
8256178|225|-380|-10.80|-776.00|5|941
8257691|227|-386|-10.97|-815.60|5|946
8259170|228|-392|-11.14|-833.60|5|944
8260662|230|-398|-11.31|-860.50|6|940
8262177|231|-404|-11.48|-884.60|5|941
8263675|232|-411|-11.68|-692.50|5|941
8265176|234|-417|-11.85|-713.40|6|946
8266698|235|-424|-12.05|-661.40|5|940
8268192|236|-430|-12.22|-665.10|5|948
8269716|238|-437|-12.41|-711.00|5|959
8271183|239|-443|-12.59|-793.10|5|941
8272692|240|-450|-12.78|-783.90|6|940
8274183|242|-457|-12.98|-853.70|5|942
8275694|243|-464|-13.18|-740.20|5|940
8277178|245|-470|-13.35|-767.20|5|938
8278690|246|-477|-13.55|-743.40|5|938
8280189|247|-484|-13.75|-752.90|5|969
8281708|249|-491|-13.95|-770.70|5|950
8283207|250|-498|-14.15|-779.40|5|980
8284733|251|-505|-14.35|-798.30|5|952
8286206|253|-512|-14.55|-747.10|5|935
8287759|254|-519|-14.74|-767.90|6|979
8289235|255|-526|-14.94|-745.20|5|944
8290783|255|-534|-15.17|-794.40|5|973
8292267|255|-541|-15.37|-707.80|5|955
8293800|255|-549|-15.60|-703.10|6|963
8295250|255|-556|-15.80|-753.80|5|934
