Received new setpoint, speed, duration: -100.00, 6765933
Calc'd Final Speed: 0.00
Time [us]|PWM|Frequency|Current [mA]|Perf Current [us]|Angle [deg]|Perf Angle [us]
13005675|-0.003|25000|-0|157|122.70|173
13010317|-0.075|25000|-0|150|122.61|154
13015311|-0.149|25000|0|149|122.70|151
13020316|-0.223|25000|-1|148|122.61|151
13025315|-0.297|25000|-0|148|122.61|150
13030312|-0.370|25000|-0|148|122.70|149
13035310|-0.444|25000|-0|149|122.61|150
13040304|-0.518|25000|-0|149|122.61|150
13045315|-0.592|25000|-0|149|122.61|150
13050303|-0.666|25000|0|149|122.61|150
13055308|-0.740|25000|-0|149|122.61|151
13060309|-0.814|25000|-0|148|122.61|150
13065308|-0.888|25000|3|149|122.61|149
13070305|-0.962|25000|11|148|122.70|150
13075309|-1.035|25000|15|148|122.70|151
13080303|-1.109|25000|8|149|122.70|150
13085306|-1.183|25000|-32|149|122.61|151
13090313|-1.257|25000|-34|149|122.70|150
13095314|-1.331|25000|-41|149|122.61|151
13100308|-1.405|25000|-88|149|122.61|150
13105312|-1.479|25000|0|149|122.70|150
13110311|-1.553|25000|-108|148|122.61|149
13115314|-1.627|25000|-69|149|122.61|151
13120311|-1.701|25000|-119|147|122.70|149
13125315|-1.775|25000|-73|149|122.70|150
13130302|-1.848|25000|-81|149|122.70|149
13135304|-1.922|25000|-35|149|122.70|150
13140307|-1.996|25000|-18|149|122.61|151
13145314|-2.070|25000|-79|149|122.70|150
13150309|-2.144|25000|-149|149|122.70|149
13155310|-2.218|25000|-98|148|122.70|151
13160316|-2.292|25000|-201|149|122.70|150
13165306|-2.366|25000|-173|148|122.70|150
13170317|-2.440|25000|-71|149|122.70|150
13175315|-2.514|25000|-153|149|122.61|150
13180303|-2.587|25000|-166|149|122.70|151
13185312|-2.661|25000|-104|148|122.61|150
13190317|-2.735|25000|-205|149|122.70|149
13195319|-2.809|25000|-91|149|122.70|150
13200320|-2.883|25000|-170|156|122.61|150
13205314|-2.957|25000|-151|151|122.61|150
13210310|-3.031|25000|-76|149|122.70|150
13215303|-3.105|25000|-144|151|122.70|150
13220306|-3.178|25000|-55|151|122.61|150
13225313|-3.252|25000|-119|156|122.61|150
13230309|-3.326|25000|-86|148|122.70|150
13235312|-3.400|25000|-27|148|122.61|152
13240309|-3.474|25000|-88|149|122.70|151
13245305|-3.548|25000|-166|149|122.70|151
13250316|-3.622|25000|-104|148|122.61|151
13255304|-3.696|25000|-202|148|122.70|152
13260301|-3.770|25000|-57|147|122.70|153
13265310|-3.844|25000|-174|148|122.61|152
13270311|-3.917|25000|-90|148|122.61|160
13275304|-3.991|25000|-64|147|122.61|152
13280305|-4.065|25000|-182|148|122.70|152
13285313|-4.139|25000|-215|147|122.70|151
13290313|-4.213|25000|-50|149|122.61|151
13295311|-4.287|25000|-123|148|122.61|153
13300311|-4.361|25000|-78|149|122.61|151
13305315|-4.435|25000|-8|148|122.61|157
13310324|-4.509|25000|-50|149|122.61|160
13315314|-4.583|25000|-41|148|122.70|151
13320302|-4.656|25000|-48|148|122.70|150
13325305|-4.730|25000|-51|149|122.70|149
13330308|-4.804|25000|-78|149|122.70|150
13335305|-4.878|25000|2|149|122.61|150
13340306|-4.952|25000|-4|149|122.61|150
13345308|-5.026|25000|0|149|122.61|151
13350300|-5.100|25000|3|148|122.70|150
13355323|-5.174|25000|-11|148|122.61|157
13360305|-5.248|25000|4|149|122.70|151
13365314|-5.322|25000|1|149|122.70|150
13370306|-5.396|25000|-5|149|122.70|149
13375303|-5.469|25000|5|148|122.61|149
13380305|-5.543|25000|-2|149|122.70|151
13385312|-5.617|25000|-1|149|122.70|150
13390315|-5.691|25000|5|149|122.70|149
13395302|-5.765|25000|1|148|122.61|150
13400310|-5.839|25000|6|148|122.61|151
13405307|-5.913|25000|1|149|122.70|150
13410305|-5.987|25000|-14|149|122.61|150
13415300|-6.061|25000|3|148|122.70|150
13420315|-6.135|25000|-9|148|122.70|150
13425312|-6.209|25000|4|148|122.61|150
13430307|-6.282|25000|4|148|122.70|151
13435312|-6.356|25000|-4|149|122.70|150
13440305|-6.430|25000|4|148|122.70|148
13445312|-6.504|25000|1|147|122.70|149
13450305|-6.578|25000|-28|148|122.70|150
13455303|-6.652|25000|16|148|122.70|149
13460303|-6.726|25000|-65|147|122.70|150
13465304|-6.800|25000|20|148|122.70|150
13470310|-6.874|25000|3|149|122.70|151
13475300|-6.947|25000|-48|148|122.61|150
13480311|-7.021|25000|-116|148|122.61|149
13485315|-7.095|25000|-45|148|122.61|150
13490314|-7.169|25000|-104|148|122.61|150
13495303|-7.243|25000|-108|148|122.70|150
13500300|-7.317|25000|-48|148|122.70|149
13505304|-7.391|25000|-55|148|122.70|150
13510310|-7.465|25000|0|149|122.70|149
13515308|-7.539|25000|-48|148|122.70|150
13520310|-7.613|25000|-106|148|122.61|150
13525304|-7.686|25000|-45|148|122.61|149
13530311|-7.760|25000|-103|148|122.70|149
13535302|-7.834|25000|-61|147|122.61|150
13540301|-7.908|25000|6|149|122.70|150
13545304|-7.982|25000|-5|148|122.61|149
13550315|-8.056|25000|-2|148|122.61|151
13555303|-8.130|25000|4|148|122.61|150
13560301|-8.204|25000|-4|149|122.70|149
13565308|-8.278|25000|7|148|122.70|149
13570305|-8.352|25000|-51|147|122.61|149
13575317|-8.426|25000|-111|148|122.70|150
13580302|-8.499|25000|5|149|122.61|150
13585314|-8.573|25000|-60|148|122.70|150
13590303|-8.647|25000|7|148|122.70|150
13595316|-8.721|25000|-103|149|122.61|150
13600305|-8.795|25000|-52|149|122.70|150
13605303|-8.869|25000|8|148|122.70|150
13610305|-8.943|25000|-104|147|122.70|151
13615315|-9.017|25000|-10|149|122.61|150
13620305|-9.090|25000|-53|149|122.61|150
13625307|-9.164|25000|-39|149|122.70|149
13630309|-9.238|25000|-39|149|122.61|151
13635300|-9.312|25000|-60|148|122.70|150
13640309|-9.386|25000|-11|148|122.70|150
13645306|-9.460|25000|-6|149|122.70|151
13650316|-9.534|25000|-2|148|122.70|150
13655311|-9.608|25000|-3|147|122.61|149
13660312|-9.682|25000|-5|149|122.70|151
13665302|-9.756|25000|-36|148|122.70|150
13670303|-9.829|25000|-50|148|122.70|150
13675310|-9.903|25000|-105|147|122.61|149
13680316|-9.977|25000|-60|148|122.70|150
13685309|-10.051|25000|1|154|122.70|149
13690315|-10.125|25000|1|157|122.70|149
13695316|-10.199|25000|-51|151|122.61|150
13700318|-10.273|25000|-53|150|122.70|150
13705300|-10.347|25000|8|148|122.61|150
13710304|-10.421|25000|-48|150|122.61|151
13715311|-10.495|25000|-0|150|122.61|150
13720308|-10.568|25000|4|148|122.61|152
13725310|-10.642|25000|2|148|122.61|151
13730302|-10.716|25000|8|149|122.61|151
13735311|-10.790|25000|1|148|122.70|151
13740308|-10.864|25000|-5|151|122.70|151
13745302|-10.938|25000|6|148|122.70|150
13750305|-11.012|25000|3|148|122.61|152
13755305|-11.086|25000|14|150|122.61|151
13760315|-11.160|25000|-0|148|122.70|151
13765304|-11.234|25000|5|149|122.70|151
13770311|-11.308|25000|8|148|122.61|152
13775310|-11.381|25000|1|148|122.61|150
13780308|-11.455|25000|2|148|122.61|150
13785307|-11.529|25000|3|149|122.61|152
13790320|-11.603|25000|8|149|122.61|152
13795317|-11.677|25000|-51|149|122.70|157
13800309|-11.751|25000|-52|148|122.61|150
13805301|-11.825|25000|4|149|122.70|151
13810311|-11.899|25000|6|148|122.61|150
13815304|-11.973|25000|1|148|122.61|149
13820312|-12.046|25000|-6|148|122.70|156
13825319|-12.120|25000|-0|149|122.61|158
13830302|-12.194|25000|-11|148|122.61|149
13835309|-12.268|25000|8|149|122.70|154
13840317|-12.342|25000|0|148|122.61|158
13845324|-12.416|25000|-16|149|122.61|158
13850319|-12.490|25000|6|149|122.61|150
13855308|-12.564|25000|1|149|122.70|150
13860303|-12.638|25000|-19|147|122.61|150
13865315|-12.712|25000|1|148|122.70|150
13870315|-12.786|25000|-11|149|122.70|149
13875303|-12.859|25000|7|148|122.61|150
13880312|-12.933|25000|-1|149|122.61|151
13885313|-13.007|25000|-15|148|122.70|149
13890299|-13.081|25000|4|148|122.61|150
13895310|-13.155|25000|-7|148|122.61|149
13900304|-13.229|25000|-1|149|122.61|150
13905314|-13.303|25000|-2|147|122.70|149
13910307|-13.377|25000|-12|148|122.61|149
13915315|-13.451|25000|7|149|122.61|150
13920302|-13.524|25000|1|147|122.61|150
13925303|-13.598|25000|-14|149|122.70|150
13930308|-13.672|25000|4|148|122.70|150
13935301|-13.746|25000|-5|149|122.70|150
13940311|-13.820|25000|-4|148|122.61|149
13945316|-13.894|25000|2|148|122.70|149
13950304|-13.968|25000|-12|149|122.70|150
13955310|-14.042|25000|10|149|122.61|149
13960313|-14.116|25000|1|149|122.61|150
13965306|-14.190|25000|-18|149|122.70|150
13970309|-14.264|25000|6|149|122.70|150
13975307|-14.337|25000|7|148|122.70|150
13980307|-14.411|25000|14|148|122.61|150
13985307|-14.485|25000|1|148|122.70|149
13990318|-14.559|25000|2|148|122.61|150
13995299|-14.633|25000|9|148|122.61|150
14000309|-14.707|25000|8|149|122.61|149
14005311|-14.781|25000|0|148|122.70|149
Time [us]|PWM|Frequency|Current [mA]|Perf Current [us]|Angle [deg]|Perf Angle [us]
14010367|-14.855|25000|8|148|122.61|150
14015309|-14.929|25000|9|149|122.61|150
14020306|-15.002|25000|14|149|122.61|149
14025301|-15.076|25000|1|148|122.61|149
14030302|-15.150|25000|3|148|122.61|149
14035313|-15.224|25000|11|149|122.61|150
14040304|-15.298|25000|14|148|122.61|149
14045305|-15.372|25000|-0|148|122.61|150
14050301|-15.446|25000|5|149|122.61|150
14055310|-15.520|25000|6|147|122.61|149
14060312|-15.594|25000|14|148|122.61|151
14065303|-15.668|25000|1|148|122.61|150
14070307|-15.741|25000|-1|148|122.61|150
14075311|-15.815|25000|7|148|122.61|150
14080308|-15.889|25000|3|148|122.61|150
14085302|-15.963|25000|14|149|122.61|150
14090308|-16.037|25000|6|149|122.61|150
14095310|-16.111|25000|2|147|122.61|151
14100303|-16.185|25000|14|149|122.70|150
14105302|-16.259|25000|1|148|122.70|151
14110314|-16.333|25000|2|149|122.61|149
14115314|-16.407|25000|8|147|122.61|149
14120314|-16.481|25000|11|149|122.61|150
14125310|-16.554|25000|27|148|122.70|151
14130301|-16.628|25000|1|149|122.61|150
14135314|-16.702|25000|6|147|122.61|150
14140306|-16.776|25000|8|148|122.61|149
14145299|-16.850|25000|14|148|122.70|150
14150304|-16.924|25000|1|149|122.61|150
14155314|-16.998|25000|1|149|122.61|150
14160311|-17.072|25000|10|149|122.61|149
14165311|-17.146|25000|11|147|122.61|150
14170317|-17.220|25000|0|148|122.61|149
14175305|-17.293|25000|7|150|122.61|149
14180301|-17.367|25000|9|149|122.61|150
14185306|-17.441|25000|1|151|122.61|150
14190303|-17.515|25000|0|151|122.70|150
14195306|-17.589|25000|3|151|122.61|150
14200313|-17.663|25000|11|149|122.61|150
14205317|-17.737|25000|14|151|122.61|150
14210306|-17.811|25000|-1|148|122.61|151
14215306|-17.885|25000|4|149|122.61|152
14220308|-17.958|25000|6|148|122.61|152
14225305|-18.032|25000|14|149|122.61|152
14230305|-18.106|25000|1|150|122.61|153
14235315|-18.180|25000|-1|155|122.61|152
14240308|-18.254|25000|8|149|122.61|152
14245310|-18.328|25000|5|149|122.70|151
14250317|-18.402|25000|1|149|122.61|151
14255319|-18.476|25000|1|147|122.61|151
14260325|-18.550|25000|4|149|122.61|161
14265306|-18.624|25000|14|149|122.61|152
14270315|-18.698|25000|1|148|122.61|152
14275308|-18.771|25000|-5|149|122.61|151
14280307|-18.845|25000|9|149|122.61|154
14285313|-18.919|25000|14|149|122.70|158
14290308|-18.993|25000|1|149|122.61|150
14295315|-19.067|25000|1|149|122.61|150
14300308|-19.141|25000|7|148|122.61|150
14305311|-19.215|25000|6|148|122.61|150
14310308|-19.289|25000|27|149|122.61|149
14315300|-19.362|25000|0|148|122.61|150
14320309|-19.437|25000|2|149|122.61|150
14325306|-19.510|25000|8|148|122.61|150
14330311|-19.584|25000|8|148|122.61|150
14335321|-19.658|25000|1|149|122.61|158
14340308|-19.732|25000|8|148|122.61|151
14345316|-19.806|25000|4|148|122.61|149
14350302|-19.880|25000|1|147|122.61|149
14355309|-19.954|25000|1|147|122.61|151
14360310|-20.028|25000|3|148|122.61|150
14365310|-20.102|25000|7|148|122.61|151
14370308|-20.176|25000|14|147|122.61|151
14375313|-20.249|25000|-0|149|122.61|150
14380313|-20.323|25000|4|149|122.61|151
14385315|-20.397|25000|3|148|122.61|150
14390306|-20.471|25000|14|148|122.61|150
14395307|-20.545|25000|1|148|122.61|150
14400310|-20.619|25000|-1|148|122.61|149
14405305|-20.693|25000|5|148|122.61|149
14410303|-20.767|25000|4|148|122.61|151
14415305|-20.841|25000|1|148|122.61|150
14420308|-20.914|25000|1|148|122.61|149
14425307|-20.988|25000|6|148|122.61|150
14430302|-21.062|25000|8|148|122.61|150
14435311|-21.136|25000|1|149|122.61|149
14440313|-21.210|25000|-4|148|122.61|149
14445314|-21.284|25000|7|148|122.61|150
14450310|-21.358|25000|11|149|122.61|149
14455314|-21.432|25000|1|149|122.61|150
14460306|-21.506|25000|2|148|122.61|150
14465307|-21.580|25000|3|148|122.61|149
14470299|-21.653|25000|1|148|122.61|150
14475311|-21.727|25000|1|148|122.61|150
14480316|-21.801|25000|1|149|122.61|149
14485304|-21.875|25000|-1|149|122.70|150
14490313|-21.949|25000|10|149|122.70|150
14495303|-22.023|25000|8|149|122.61|150
14500303|-22.097|25000|-1|148|122.70|151
14505301|-22.171|25000|7|149|122.61|150
14510304|-22.245|25000|3|148|122.70|150
14515313|-22.319|25000|1|148|122.61|150
14520300|-22.392|25000|1|148|122.70|149
14525306|-22.466|25000|0|148|122.70|150
14530312|-22.540|25000|7|149|122.70|150
14535300|-22.614|25000|1|148|122.61|149
14540317|-22.688|25000|-0|149|122.70|149
14545311|-22.762|25000|3|148|122.70|150
14550312|-22.836|25000|3|148|122.70|150
14555304|-22.910|25000|14|147|122.70|150
14560302|-22.984|25000|1|148|122.61|149
14565305|-23.058|25000|-1|148|122.70|151
14570304|-23.131|25000|6|149|122.61|150
14575308|-23.205|25000|4|148|122.61|150
14580314|-23.279|25000|1|148|122.61|150
14585313|-23.353|25000|1|149|122.52|151
14590307|-23.427|25000|5|148|122.52|150
14595304|-23.501|25000|1|148|122.52|149
14600307|-23.575|25000|1|149|122.43|151
14605305|-23.649|25000|-2|147|122.43|149
14610304|-23.723|25000|7|148|122.34|150
14615312|-23.797|25000|4|148|122.34|150
14620303|-23.870|25000|1|149|122.26|150
14625306|-23.944|25000|0|148|122.17|150
14630304|-24.018|25000|2|147|122.17|150
14635314|-24.092|25000|8|149|122.08|150
14640306|-24.166|25000|1|147|122.08|150
14645302|-24.240|25000|0|147|121.99|149
14650302|-24.314|25000|-5|149|121.90|151
14655303|-24.388|25000|7|148|121.90|150
14660302|-24.462|25000|1|147|121.82|150
14665309|-24.536|25000|1|148|121.73|150
14670318|-24.610|25000|3|148|121.64|150
14675316|-24.683|25000|8|148|121.64|150
14680318|-24.757|25000|1|154|121.55|151
14685307|-24.831|25000|1|150|121.46|150
14690310|-24.905|25000|1|150|121.38|150
14695319|-24.979|25000|6|151|121.38|150
14700307|-25.053|25000|1|151|121.29|149
14705314|-25.127|25000|-0|149|121.20|150
14710312|-25.201|25000|5|154|121.11|149
14715303|-25.274|25000|3|148|121.11|150
14720313|-25.349|25000|8|147|121.03|151
14725301|-25.422|25000|1|149|120.94|151
14730311|-25.496|25000|-2|148|120.85|151
14735314|-25.570|25000|4|149|120.76|151
14740317|-25.644|25000|8|148|120.76|151
14745321|-25.718|25000|1|149|120.67|152
14750315|-25.792|25000|1|148|120.59|152
14755309|-25.866|25000|2|152|120.50|151
14760319|-25.940|25000|14|153|120.41|151
14765304|-26.013|25000|1|148|120.32|150
14770326|-26.088|25000|-5|149|120.32|160
14775311|-26.161|25000|6|148|120.23|151
14780306|-26.235|25000|1|149|120.15|151
14785312|-26.309|25000|1|149|120.06|153
14790308|-26.383|25000|2|148|119.97|156
14795317|-26.457|25000|3|149|119.88|157
14800309|-26.531|25000|13|148|119.88|151
14805301|-26.605|25000|1|148|119.79|150
14810300|-26.679|25000|-0|147|119.71|149
14815313|-26.753|25000|-7|148|119.62|150
14820307|-26.826|25000|4|148|119.53|150
14825315|-26.900|25000|1|148|119.44|150
14830309|-26.974|25000|-13|148|119.36|150
14835315|-27.048|25000|2|149|119.27|150
14840313|-27.122|25000|4|147|119.18|150
14845321|-27.196|25000|-2|149|119.09|156
14850314|-27.270|25000|1|148|119.00|149
14855308|-27.344|25000|1|148|118.92|150
14860302|-27.418|25000|6|149|118.83|149
14865308|-27.492|25000|1|149|118.83|149
14870304|-27.565|25000|-0|149|118.74|150
14875312|-27.639|25000|3|148|118.65|149
14880317|-27.713|25000|2|148|118.56|150
14885304|-27.787|25000|1|147|118.48|149
14890312|-27.861|25000|1|149|118.39|149
14895303|-27.935|25000|-2|148|118.30|150
14900300|-28.009|25000|5|149|118.21|150
14905301|-28.083|25000|1|149|118.12|150
14910304|-28.157|25000|-2|148|118.04|149
14915301|-28.230|25000|4|149|117.95|150
14920313|-28.305|25000|3|148|117.95|150
14925307|-28.378|25000|1|148|117.86|150
14930303|-28.452|25000|1|149|117.77|150
14935315|-28.526|25000|0|148|117.69|150
14940304|-28.600|25000|8|149|117.60|150
14945305|-28.674|25000|8|149|117.51|150
14950312|-28.748|25000|-6|149|117.42|150
14955310|-28.822|25000|3|149|117.33|150
14960305|-28.896|25000|2|148|117.25|150
14965300|-28.969|25000|8|148|117.16|150
14970307|-29.043|25000|1|149|117.07|149
14975310|-29.117|25000|-1|147|116.89|149
14980304|-29.191|25000|3|149|116.89|150
14985317|-29.265|25000|5|149|116.81|150
14990302|-29.339|25000|1|148|116.63|149
14995311|-29.413|25000|1|149|116.54|150
15000305|-29.487|25000|7|148|116.46|149
15005314|-29.561|25000|1|149|116.37|150
15010311|-29.635|25000|1|149|116.28|149
Time [us]|PWM|Frequency|Current [mA]|Perf Current [us]|Angle [deg]|Perf Angle [us]
15015377|-29.709|25000|1|149|116.19|151
15020314|-29.783|25000|0|148|116.10|151
15025306|-29.856|25000|8|147|116.02|150
15030312|-29.930|25000|1|149|115.93|150
15035308|-30.004|25000|-0|149|115.75|151
15040309|-30.078|25000|4|149|115.75|150
15045313|-30.152|25000|1|149|115.66|150
15050312|-30.226|25000|1|148|115.58|149
15055312|-30.300|25000|1|149|115.49|150
15060308|-30.374|25000|-1|149|115.31|151
15065309|-30.448|25000|7|148|115.22|150
15070309|-30.521|25000|1|148|115.14|149
15075302|-30.595|25000|1|149|115.05|150
15080301|-30.669|25000|4|148|114.96|151
15085306|-30.743|25000|8|149|114.87|149
15090307|-30.817|25000|1|149|114.79|149
15095311|-30.891|25000|1|149|114.70|150
15100303|-30.965|25000|-1|147|114.61|150
15105314|-31.039|25000|7|147|114.43|151
15110309|-31.113|25000|14|148|114.35|151
15115312|-31.187|25000|1|149|114.26|151
15120301|-31.260|25000|2|149|114.17|150
15125312|-31.334|25000|2|148|114.08|150
15130307|-31.408|25000|14|149|113.99|150
15135312|-31.482|25000|1|148|113.82|149
15140317|-31.556|25000|-4|149|113.73|151
15145316|-31.630|25000|4|149|113.64|149
15150299|-31.704|25000|13|147|113.55|149
15155313|-31.778|25000|1|148|113.47|149
15160313|-31.852|25000|1|148|113.29|149
15165313|-31.926|25000|7|148|113.20|149
15170313|-32.000|25000|8|149|113.12|150
15175303|-32.073|25000|-6|147|113.03|150
15180307|-32.147|25000|0|148|112.85|150
15185315|-32.221|25000|4|148|112.76|150
15190310|-32.295|25000|4|148|112.68|149
15195311|-32.369|25000|1|158|112.50|149
15200302|-32.443|25000|-0|149|112.41|150
15205318|-32.517|25000|3|151|112.32|150
15210301|-32.591|25000|1|150|112.24|149
15215305|-32.664|25000|0|150|112.06|150
15220303|-32.738|25000|1|149|111.97|151
15225317|-32.812|25000|-2|152|111.80|150
15230312|-32.886|25000|9|148|111.71|151
15235311|-32.960|25000|2|147|111.62|151
15240317|-33.034|25000|-12|149|111.45|151
15245303|-33.108|25000|8|149|111.36|150
15250305|-33.182|25000|3|150|111.27|151
15255314|-33.256|25000|-0|148|111.18|150
15260311|-33.330|25000|1|149|111.01|151
15265306|-33.403|25000|-1|153|110.92|151
15270317|-33.478|25000|6|148|110.74|152
15275315|-33.551|25000|1|148|110.65|161
15280309|-33.625|25000|-13|148|110.48|150
15285308|-33.699|25000|2|149|110.48|150
15290318|-33.773|25000|0|148|110.30|152
15295315|-33.847|25000|8|148|110.21|151
15300310|-33.921|25000|1|147|110.04|151
15305317|-33.995|25000|-3|148|109.95|152
15310318|-34.069|25000|8|148|109.86|159
15315308|-34.142|25000|-2|149|109.69|150
15320308|-34.216|25000|0|148|109.60|150
15325312|-34.290|25000|1|148|109.42|151
15330300|-34.364|25000|3|148|109.34|150
15335306|-34.438|25000|14|148|109.16|151
15340318|-34.512|25000|1|149|109.07|155
15345303|-34.586|25000|0|148|108.90|150
15350315|-34.660|25000|-9|148|108.81|150
15355315|-34.734|25000|8|149|108.63|153
15360323|-34.808|25000|-0|149|108.54|158
15365314|-34.882|25000|-0|147|108.46|150
15370302|-34.955|25000|4|148|108.28|150
15375312|-35.029|25000|3|148|108.19|150
15380315|-35.103|25000|1|148|108.02|150
15385311|-35.177|25000|1|148|107.93|150
15390303|-35.251|25000|-2|147|107.75|150
15395305|-35.325|25000|5|149|107.67|150
15400308|-35.399|25000|1|148|107.49|150
15405310|-35.473|25000|4|148|107.40|151
15410306|-35.547|25000|5|149|107.23|150
15415313|-35.621|25000|1|148|107.14|150
15420303|-35.694|25000|1|149|107.05|150
15425314|-35.768|25000|1|149|106.87|150
15430305|-35.842|25000|-1|149|106.79|150
15435314|-35.916|25000|6|147|106.70|150
15440299|-35.990|25000|1|147|106.52|150
15445301|-36.064|25000|1|149|106.35|150
15450310|-36.138|25000|2|149|106.26|151
15455314|-36.212|25000|4|147|106.17|150
15460307|-36.286|25000|8|149|106.00|149
15465305|-36.359|25000|-5|148|105.82|150
15470304|-36.433|25000|-1|146|105.64|149
15475304|-36.507|25000|4|147|105.56|150
15480310|-36.581|25000|-2|149|105.38|149
15485303|-36.655|25000|1|147|105.21|149
15490304|-36.729|25000|1|149|105.12|150
15495304|-36.803|25000|2|149|104.94|150
15500310|-36.877|25000|14|148|104.77|149
15505308|-36.951|25000|-5|148|104.68|150
15510311|-37.025|25000|0|147|104.50|150
15515301|-37.098|25000|0|149|104.33|150
15520310|-37.172|25000|1|148|104.24|151
15525301|-37.246|25000|1|147|104.06|150
15530305|-37.320|25000|0|149|103.89|150
15535300|-37.394|25000|3|148|103.71|149
15540306|-37.468|25000|6|148|103.62|150
15545307|-37.542|25000|-1|149|103.45|150
15550311|-37.616|25000|1|148|103.27|149
15555305|-37.690|25000|-1|148|103.10|150
15560306|-37.764|25000|4|148|103.01|150
15565311|-37.838|25000|1|148|102.83|151
15570306|-37.911|25000|-12|147|102.66|149
15575311|-37.985|25000|1|149|102.57|151
15580311|-38.059|25000|4|148|102.39|149
15585315|-38.133|25000|-0|148|102.22|149
15590310|-38.207|25000|1|149|102.13|149
15595303|-38.281|25000|-1|148|101.95|150
15600314|-38.355|25000|11|148|101.87|150
15605310|-38.429|25000|2|149|101.69|151
15610311|-38.503|25000|-12|148|101.51|149
15615310|-38.577|25000|2|149|101.34|150
15620304|-38.650|25000|0|149|101.16|150
15625309|-38.724|25000|1|149|100.99|150
15630311|-38.798|25000|4|149|100.81|150
15635318|-38.872|25000|-6|149|100.72|150
15640303|-38.946|25000|4|148|100.55|149
15645301|-39.020|25000|1|148|100.37|149
15650307|-39.094|25000|-1|148|100.20|150
15655306|-39.168|25000|1|147|100.11|150
15660311|-39.242|25000|0|148|99.93|150
15665301|-39.315|25000|1|149|99.76|150
15670313|-39.389|25000|1|148|99.58|150
15675315|-39.463|25000|0|148|99.40|149
15680304|-39.537|25000|-4|149|99.32|150
15685299|-39.611|25000|8|148|99.14|150
15690306|-39.685|25000|-6|147|98.96|150
15695302|-39.759|25000|-1|148|98.88|150
15700308|-39.833|25000|2|147|98.70|150
15705315|-39.907|25000|-2|149|98.53|150
15710316|-39.981|25000|2|157|98.35|149
15715322|-40.055|25000|-12|155|98.17|149
15720305|-40.128|25000|-2|151|98.00|150
15725310|-40.202|25000|4|149|97.82|149
15730314|-40.276|25000|0|150|97.65|150
15735308|-40.350|25000|4|151|97.47|150
15740314|-40.424|25000|1|149|97.29|150
15745308|-40.498|25000|1|148|97.12|152
15750322|-40.572|25000|2|154|96.94|150
15755307|-40.646|25000|1|149|96.77|151
15760305|-40.719|25000|-1|149|96.59|152
15765309|-40.794|25000|9|148|96.42|150
15770314|-40.867|25000|0|150|96.24|151
15775311|-40.941|25000|8|148|96.06|152
15780315|-41.015|25000|2|148|95.89|151
15785317|-41.089|25000|-0|148|95.71|151
15790311|-41.163|25000|1|148|95.54|158
15795306|-41.237|25000|-15|149|95.36|153
15800309|-41.311|25000|-2|147|95.19|152
15805307|-41.385|25000|6|148|95.01|152
15810306|-41.459|25000|8|147|94.83|152
15815319|-41.533|25000|2|149|94.66|153
15820312|-41.606|25000|1|149|94.48|151
15825322|-41.680|25000|1|149|94.31|161
15830304|-41.754|25000|1|148|94.13|150
15835305|-41.828|25000|-5|148|93.87|150
15840310|-41.902|25000|0|148|93.69|149
15845306|-41.976|25000|6|148|93.52|157
15850315|-42.050|25000|14|148|93.34|157
15855302|-42.124|25000|4|148|93.25|150
15860315|-42.198|25000|0|148|93.08|150
15865310|-42.271|25000|4|148|92.81|149
15870307|-42.345|25000|4|148|92.64|151
15875306|-42.419|25000|-1|148|92.37|148
15880315|-42.493|25000|1|148|92.20|149
15885318|-42.567|25000|-1|149|92.02|150
15890304|-42.641|25000|4|148|91.85|150
15895301|-42.715|25000|2|148|91.67|150
15900312|-42.789|25000|-2|147|91.41|150
15905301|-42.863|25000|2|148|91.23|151
15910311|-42.937|25000|1|149|91.05|150
15915303|-43.010|25000|-5|148|90.88|150
15920312|-43.084|25000|1|149|90.70|150
15925313|-43.158|25000|-2|148|90.53|149
15930308|-43.232|25000|4|148|90.26|149
15935303|-43.306|25000|4|149|90.09|150
15940310|-43.380|25000|-6|149|90.00|150
15945299|-43.454|25000|2|148|89.74|149
15950305|-43.528|25000|-0|148|89.56|150
15955308|-43.602|25000|1|148|89.38|149
15960313|-43.676|25000|4|149|89.12|150
15965310|-43.750|25000|-3|148|88.95|150
15970313|-43.823|25000|3|148|88.77|151
15975311|-43.897|25000|2|149|88.51|151
15980310|-43.971|25000|-12|149|88.33|150
15985315|-44.045|25000|1|148|88.15|150
15990300|-44.119|25000|-0|148|87.89|150
15995301|-44.193|25000|-2|148|87.71|150
16000306|-44.267|25000|8|149|87.54|150
16005306|-44.341|25000|-3|148|87.28|149
16010316|-44.415|25000|7|149|87.10|151
16015308|-44.488|25000|14|149|86.84|149
Time [us]|PWM|Frequency|Current [mA]|Perf Current [us]|Angle [deg]|Perf Angle [us]
16020380|-44.562|25000|-4|148|86.66|151
16025313|-44.636|25000|1|149|86.48|150
16030311|-44.710|25000|3|148|86.22|150
16035308|-44.784|25000|1|149|86.04|150
16040300|-44.858|25000|2|149|85.78|150
16045302|-44.932|25000|-12|148|85.61|150
16050314|-45.006|25000|-2|149|85.43|150
16055311|-45.080|25000|4|148|85.17|150
16060305|-45.154|25000|0|149|84.99|150
16065306|-45.227|25000|8|149|84.73|150
16070301|-45.301|25000|8|149|84.55|151
16075314|-45.375|25000|1|148|84.37|149
16080303|-45.449|25000|4|148|84.11|150
